Symbol,Action,Entry,StopLoss,Target,Risk,Reward,RR_Ratio,Current_Price,Change%,Volume_Ratio,VWAP,RSI,Score,Rating,Sector,Reasons,Day_High,Day_Low
BSE,BUY,3792.6,3757.4,3863.0,35.2,70.4,2.0,3792.6,1.78,2.91,3709.65,61.5,9,⭐⭐ VERY GOOD,Financial Services,✅ Price above VWAP | ✅ 20 EMA > 50 EMA (Bullish trend) | ✅ RSI: 61.5 (Strong momentum) | ✅ Opening Range Breakout | ✅ At Day High | ✅ Near Day High (Strong momentum),3804.3,3569.0
HINDPETRO,BUY,380.35,377.45,386.15,2.9,5.8,2.0,380.35,1.73,3.01,374.22,57.7,9,⭐⭐ VERY GOOD,Energy,✅ Price above VWAP | ✅ 20 EMA > 50 EMA (Bullish trend) | ✅ RSI: 57.7 (Strong momentum) | ✅ Opening Range Breakout | ✅ At Day High | ✅ Near Day High (Strong momentum),381.8,365.45
KALYANKJIL,BUY,412.8,409.45,419.5,3.35,6.7,2.0,412.8,1.52,2.46,410.12,63.5,9,⭐⭐ VERY GOOD,Consumer Cyclical,✅ Price above VWAP | ✅ 20 EMA > 50 EMA (Bullish trend) | ✅ RSI: 63.5 (Strong momentum) | ✅ MACD Bullish crossover | ✅ Opening Range Breakout | ✅ Near Day High (Strong momentum),417.55,404.85
VBL,SELL,503.65,509.15,492.65,5.5,11.0,2.0,503.65,-1.57,3.47,510.08,35.8,8,⭐ GOOD,Consumer Defensive,✅ Price below VWAP | ✅ 20 EMA < 50 EMA (Bearish trend) | ✅ RSI: 35.8 (Strong selling) | ✅ Opening Range Breakdown | ✅ Near Day Low (Strong momentum),521.25,499.9
